angleToTrackAxis,trackPosition,11Sensor,rxSensor,ctrSensor,sxSensor,7Sensor,xSpeed,ySpeed,class
-0.049237,0.000178,0.150075,0.177366,0.208698,0.243327,0.280272,0.296257,-0.000000,1
-0.019744,0.000979,0.131663,0.154236,0.180951,0.211523,0.245284,0.301245,0.000017,1
0.008940,0.001098,0.113389,0.131835,0.154261,0.180798,0.211176,0.319383,-0.000217,1
0.035415,0.000485,0.094993,0.109870,0.128418,0.151104,0.178070,0.332640,0.001584,2
0.045630,-0.000463,0.083890,0.097216,0.114116,0.135228,0.160897,0.328083,0.001658,2
0.054818,-0.001632,0.072092,0.083832,0.099031,0.118497,0.142827,0.323731,0.002053,2
0.018985,-0.002605,0.080160,0.096096,0.116777,0.142804,0.174112,0.315658,0.003843,2
-0.052668,-0.002226,0.134445,0.163398,0.197097,0.239740,0.308664,0.302717,-0.012712,0
-0.028035,-0.001368,0.120265,0.144473,0.173542,0.211894,0.274634,0.299920,-0.000021,1
-0.001508,-0.001036,0.104205,0.123906,0.148282,0.181871,0.237467,0.300471,0.001119,5
0.014015,-0.001166,0.094065,0.111320,0.133647,0.167870,0.227985,0.301535,0.002008,2
0.022523,-0.001530,0.086825,0.102938,0.126992,0.167377,0.248195,0.297651,0.002629,2
-0.008949,-0.001659,0.110515,0.146901,0.221519,0.569735,0.481342,0.291235,0.007437,2
-0.033844,-0.000845,0.204571,0.549025,0.466495,0.367464,0.227743,0.285168,-0.000181,1
-0.005968,-0.000404,0.204076,0.518860,0.439993,0.348969,0.228258,0.283123,0.000000,1
0.000991,-0.000405,0.203616,0.488825,0.413672,0.330091,0.228736,0.281314,-0.000007,1
0.001069,-0.000426,0.202889,0.460671,0.389111,0.312170,0.227244,0.286909,-0.000046,1
0.001392,-0.000453,0.204946,0.431836,0.364133,0.293779,0.221422,0.304473,-0.000048,1
0.002202,-0.000499,0.463569,0.399704,0.336520,0.273270,0.212050,0.328497,-0.000128,1
0.002730,-0.000567,0.426446,0.366500,0.307935,0.251420,0.199322,0.352423,-0.000404,1
0.001848,-0.000653,0.380529,0.325231,0.272222,0.223241,0.180250,0.379259,-0.000943,1
0.000846,-0.000720,0.331343,0.280721,0.234002,0.192800,0.158217,0.407077,-0.001122,6
0.020373,-0.001014,0.317908,0.268714,0.225000,0.186958,0.155288,0.411680,-0.000467,4
0.024504,-0.001837,0.324457,0.266887,0.224609,0.188011,0.157504,0.405320,-0.000667,0
0.002559,-0.002235,0.290471,0.236201,0.198217,0.166496,0.140657,0.399894,-0.001271,4
-0.013367,-0.002100,0.270132,0.214300,0.178254,0.149949,0.127275,0.394539,-0.000849,4
